person__lastname,person__firstname,person__nickname,state,party,person__gender,person__birthday,role_type,senator_rank
Bilirakis,Gus,,FL,Republican,male,1963-02-08,representative,
Corker,Bob,,TN,Republican,male,1952-08-24,senator,junior
Whitehouse,Sheldon,,RI,Democrat,male,1955-10-20,senator,junior
Casey,Robert,Bob,PA,Democrat,male,1960-04-13,senator,senior
Tester,Jon,,MT,Democrat,male,1956-08-21,senator,junior
McCaskill,Claire,,MO,Democrat,female,1953-07-24,senator,senior
Klobuchar,Amy,,MN,Democrat,female,1960-05-25,senator,senior
Welch,Peter,,VT,Democrat,male,1947-05-02,representative,
Cohen,Steve,,TN,Democrat,male,1949-05-24,representative,
Jordan,Jim,,OH,Republican,male,1964-02-17,representative,
Gillibrand,Kirsten,,NY,Democrat,female,1966-12-09,senator,junior
Clarke,Yvette,,NY,Democrat,female,1964-11-21,representative,
Shea-Porter,Carol,,NH,Democrat,female,1952-12-02,representative,
Heller,Dean,,NV,Republican,male,1960-05-10,senator,junior
Smith,Adrian,,NE,Republican,male,1970-12-19,representative,
Bachmann,Michele,,MN,Republican,female,1956-04-06,representative,
Ellison,Keith,,MN,Democrat,male,1963-08-04,representative,
Walz,Timothy,,MN,Democrat,male,1964-04-06,representative,
Walberg,Tim,,MI,Republican,male,1951-04-12,representative,
Sarbanes,John,,MD,Democrat,male,1962-05-22,representative,
Yarmuth,John,,KY,Democrat,male,1947-11-04,representative,
Loebsack,David,,IA,Democrat,male,1952-12-23,representative,
Braley,Bruce,,IA,Democrat,male,1957-10-30,representative,
Donnelly,Joe,,IN,Democrat,male,1955-09-28,senator,junior
Roskam,Peter,,IL,Republican,male,1961-09-13,representative,
Hirono,Mazie,,HI,Democrat,female,1947-11-03,senator,junior
Johnson,Henry,Hank,GA,Democrat,male,1954-10-02,representative,
Buchanan,Vern,,FL,Republican,male,1951-05-08,representative,
Castor,Kathy,,FL,Democrat,female,1966-08-20,representative,
Murphy,Christopher,,CT,Democrat,male,1973-08-03,senator,junior
Courtney,Joe,,CT,Democrat,male,1953-04-06,representative,
Perlmutter,Ed,,CO,Democrat,male,1953-05-01,representative,
Lamborn,Doug,,CO,Republican,male,1954-05-24,representative,
McCarthy,Kevin,,CA,Republican,male,1965-01-26,representative,
McNerney,Jerry,,CA,Democrat,male,1951-06-18,representative,
Sires,Albio,,NJ,Democrat,male,1951-01-26,representative,
Campbell,John,,CA,Republican,male,1955-07-19,representative,
Stockman,Steve,,TX,Republican,male,1956-11-14,representative,
Shuster,Bill,,PA,Republican,male,1961-01-10,representative,
Nolan,Richard,,MN,Democrat,male,1943-12-17,representative,
Matsui,Doris,,CA,Democrat,female,1944-09-25,representative,
Moore,Gwen,,WI,Democrat,female,1951-04-18,representative,
Reichert,David,,WA,Republican,male,1950-08-29,representative,
McMorris Rodgers,Cathy,,WA,Republican,female,1969-05-22,representative,
Cuellar,Henry,,TX,Democrat,male,1955-09-19,representative,
Marchant,Kenny,,TX,Republican,male,1951-02-23,representative,
Conaway,K.,,TX,Republican,male,1948-06-11,representative,
McCaul,Michael,,TX,Republican,male,1962-01-14,representative,
Green,Al,,TX,Democrat,male,1947-09-01,representative,
Poe,Ted,,TX,Republican,male,1948-09-10,representative,
Gohmert,Louie,,TX,Republican,male,1953-08-18,representative,
Dent,Charles,,PA,Republican,male,1960-05-24,representative,
Schwartz,Allyson,,PA,Democrat,female,1948-10-03,representative,
Fitzpatrick,Michael,,PA,Republican,male,1963-06-28,representative,
McHenry,Patrick,,NC,Republican,male,1975-10-22,representative,
Foxx,Virginia,,NC,Republican,female,1943-06-29,representative,
Higgins,Brian,,NY,Democrat,male,1959-10-06,representative,
Fortenberry,Jeff,,NE,Republican,male,1960-12-27,representative,
Cleaver,Emanuel,,MO,Democrat,male,1944-10-26,representative,
Boustany,Charles,,LA,Republican,male,1956-02-21,representative,
Lipinski,Daniel,,IL,Democrat,male,1966-07-15,representative,
Barrow,John,,GA,Democrat,male,1955-10-31,representative,
Westmoreland,Lynn,,GA,Republican,male,1950-04-02,representative,
Price,Tom,,GA,Republican,male,1954-10-08,representative,
Wasserman Schultz,Debbie,,FL,Democrat,female,1966-09-27,representative,
Costa,Jim,,CA,Democrat,male,1952-04-13,representative,
Butterfield,George,G.K.,NC,Democrat,male,1947-04-27,representative,
Salmon,Matt,,AZ,Republican,male,1958-01-21,representative,
Stabenow,Debbie,,MI,Democrat,female,1950-04-29,senator,junior
Nelson,Bill,,FL,Democrat,male,1942-09-29,senator,senior
Hatch,Orrin,,UT,Republican,male,1934-03-22,senator,senior
Feinstein,Dianne,,CA,Democrat,female,1933-06-22,senator,senior
Carper,Thomas,,DE,Democrat,male,1947-01-23,senator,senior
Cantwell,Maria,,WA,Democrat,female,1958-10-13,senator,junior
Neugebauer,Randy,,TX,Republican,male,1949-12-24,representative,
Young,Don,,AK,Republican,male,1933-06-09,representative,
Young,C.,,FL,Republican,male,1930-12-16,representative,
Wolf,Frank,,VA,Republican,male,1939-01-30,representative,
Wilson,Joe,,SC,Republican,male,1947-07-31,representative,
Whitfield,Ed,,KY,Republican,male,1943-05-25,representative,
Waxman,Henry,,CA,Democrat,male,1939-09-12,representative,
Watt,Melvin,Mel,NC,Democrat,male,1945-08-26,representative,
Waters,Maxine,,CA,Democrat,female,1938-08-15,representative,
Walden,Greg,,OR,Republican,male,1957-01-10,representative,
Visclosky,Peter,,IN,Democrat,male,1949-08-13,representative,
Velázquez,Nydia,,NY,Democrat,female,1953-03-28,representative,
Van Hollen,Chris,,MD,Democrat,male,1959-01-10,representative,
Upton,Fred,,MI,Republican,male,1953-04-23,representative,
Turner,Michael,,OH,Republican,male,1960-01-11,representative,
Tierney,John,,MA,Democrat,male,1951-09-18,representative,
Tiberi,Patrick,Pat,OH,Republican,male,1962-10-21,representative,
Thornberry,Mac,,TX,Republican,male,1958-07-15,representative,
Thompson,Bennie,,MS,Democrat,male,1948-01-28,representative,
Thompson,Mike,,CA,Democrat,male,1951-01-24,representative,
Terry,Lee,,NE,Republican,male,1962-01-29,representative,
Smith,Adam,,WA,Democrat,male,1965-06-15,representative,
Smith,Lamar,,TX,Republican,male,1947-11-19,representative,
Smith,Christopher,Chris,NJ,Republican,male,1953-03-04,representative,
Slaughter,Louise,,NY,Democrat,female,1929-08-14,representative,
Simpson,Michael,Mike,ID,Republican,male,1950-09-08,representative,
Shimkus,John,,IL,Republican,male,1958-02-21,representative,
Sherman,Brad,,CA,Democrat,male,1954-10-24,representative,
Sessions,Pete,,TX,Republican,male,1955-03-22,representative,
Serrano,José,,NY,Democrat,male,1943-10-24,representative,
Sensenbrenner,F.,,WI,Republican,male,1943-06-14,representative,
Scott,Robert,Bobby,VA,Democrat,male,1947-04-30,representative,
Scott,David,,GA,Democrat,male,1945-06-27,representative,
Schiff,Adam,,CA,Democrat,male,1960-06-22,representative,
Schakowsky,Janice,Jan,IL,Democrat,female,1944-05-26,representative,
Sanders,Bernard,Bernie,VT,Independent,male,1941-09-08,senator,junior
Sanchez,Loretta,,CA,Democrat,female,1960-01-07,representative,
Sánchez,Linda,,CA,Democrat,female,1969-01-28,representative,
Ryan,Paul,,WI,Republican,male,1970-01-29,representative,
Ryan,Tim,,OH,Democrat,male,1973-07-16,representative,
Rush,Bobby,,IL,Democrat,male,1946-11-23,representative,
Ruppersberger,C.,,MD,Democrat,male,1946-01-31,representative,
Royce,Edward,Ed,CA,Republican,male,1951-10-12,representative,
Roybal-Allard,Lucille,,CA,Democrat,female,1941-06-12,representative,
Ros-Lehtinen,Ileana,,FL,Republican,female,1952-07-15,representative,
Rohrabacher,Dana,,CA,Republican,male,1947-06-21,representative,
Rogers,Mike,,MI,Republican,male,1963-06-02,representative,
Rogers,Harold,Hal,KY,Republican,male,1937-12-31,representative,
Rogers,Mike,,AL,Republican,male,1958-07-16,representative,
Rangel,Charles,,NY,Democrat,male,1930-06-11,representative,
Rahall,Nick,,WV,Democrat,male,1949-05-20,representative,
Price,David,,NC,Democrat,male,1940-08-17,representative,
Pitts,Joseph,,PA,Republican,male,1939-10-10,representative,
Petri,Thomas,Tom,WI,Republican,male,1940-05-28,representative,
Peterson,Collin,,MN,Democrat,male,1944-06-29,representative,
Pelosi,Nancy,,CA,Democrat,female,1940-03-26,representative,
Pearce,Stevan,Steve,NM,Republican,male,1947-08-24,representative,
Pastor,Ed,,AZ,Democrat,male,1943-06-28,representative,
Pascrell,Bill,,NJ,Democrat,male,1937-01-25,representative,
Pallone,Frank,,NJ,Democrat,male,1951-10-30,representative,
Nunes,Devin,,CA,Republican,male,1973-10-01,representative,
Norton,Eleanor,,DC,Democrat,female,1937-06-13,representative,
Neal,Richard,,MA,Democrat,male,1949-02-14,representative,
Napolitano,Grace,,CA,Democrat,female,1936-12-04,representative,
Nadler,Jerrold,,NY,Democrat,male,1947-06-13,representative,
Murphy,Tim,,PA,Republican,male,1952-09-11,representative,
Moran,James,Jim,VA,Democrat,male,1945-05-16,representative,
Miller,Jeff,,FL,Republican,male,1959-06-27,representative,
Miller,George,,CA,Democrat,male,1945-05-17,representative,
Miller,Gary,,CA,Republican,male,1948-10-16,representative,
Miller,Candice,,MI,Republican,female,1954-05-07,representative,
Michaud,Michael,,ME,Democrat,male,1955-01-18,representative,
Mica,John,,FL,Republican,male,1943-01-27,representative,
Menéndez,Robert,Bob,NJ,Democrat,male,1954-01-01,senator,senior
Meeks,Gregory,,NY,Democrat,male,1953-09-25,representative,
McKeon,Howard,Buck,CA,Republican,male,1938-09-09,representative,
McIntyre,Mike,,NC,Democrat,male,1956-08-06,representative,
McGovern,James,Jim,MA,Democrat,male,1959-11-20,representative,
McDermott,Jim,,WA,Democrat,male,1936-12-28,representative,
McCollum,Betty,,MN,Democrat,female,1954-07-12,representative,
McCarthy,Carolyn,,NY,Democrat,female,1944-01-05,representative,
Matheson,Jim,,UT,Democrat,male,1960-03-21,representative,
Maloney,Carolyn,,NY,Democrat,female,1946-02-19,representative,
Lynch,Stephen,,MA,Democrat,male,1955-03-31,representative,
Lucas,Frank,,OK,Republican,male,1960-01-06,representative,
Lowey,Nita,,NY,Democrat,female,1937-07-05,representative,
Lofgren,Zoe,,CA,Democrat,female,1947-12-21,representative,
